RD0001,00138c00,58,24_001
RD0002,00164e00,2c,24_002
RD0003,0017b000,06,24_003
RD0004,0017e200,0a,24_004
RD0005,00183400,05,24_005
RD0006,00185e00,29,24_006
RD0007,0019a800,08,24_007
RD0008,0019ea00,1d,24_008
RD0009,001ad400,3f,24_009
RD0010,001cce00,10,AC#DC_001
RD0011,001d5000,20,AC#DC_002
RD0012,001e5200,23,AC#DC_003
RD0013,001f6c00,0f,AC#DC_004
RD0014,001fe600,11,AC#DC_005
RD0015,00207000,27,AC#DC_006
RD0016,0021aa00,12,AC#DC_007
RD0017,00223c00,24,AC#DC_008
RD0018,00235e00,1e,AC#DC_009
RD0019,00245000,2e,AC#DC_010
RD0020,0025c200,11,AC#DC_011
RD0021,00264c00,27,AC#DC_012
RD0022,00278600,19,AC#DC_013
RD0023,00285000,a0,AC#DC_014
RD0024,002d5200,6e,AC#DC_015
RD0025,0030c400,3f,AC#DC_016
RD0026,0032be00,14,AC#DC_017
RD0027,00336000,10,AC#DC_018
RD0028,0033e200,05,AC#DC_019
RD0029,00340c00,08,AC#DC_020
RD0030,00344e00,04,AC#DC_021
RD0031,00347000,11,AC#DC_022
RD0032,0034fa00,06,AC#DC_023
RD0033,00352c00,02,ATTACK_FROM_MARS_001
RD0034,00353e00,08,ATTACK_FROM_MARS_002
RD0035,00358000,08,ATTACK_FROM_MARS_003
RD0036,0035c200,09,ATTACK_FROM_MARS_004
RD0037,00360c00,09,ATTACK_FROM_MARS_005
RD0038,00365600,02,ATTACK_FROM_MARS_006
RD0039,00366800,01,ATTACK_FROM_MARS_007
RD0040,00367200,01,ATTACK_FROM_MARS_008
RD0041,00367c00,0e,ATTACK_FROM_MARS_009
RD0042,0036ee00,1b,ATTACK_FROM_MARS_010
RD0043,0037c800,3d,ATTACK_FROM_MARS_011
RD0044,0039b200,0a,ATTACK_FROM_MARS_012
RD0045,003a0400,09,ATTACK_FROM_MARS_013
RD0046,003a4e00,0b,ATTACK_FROM_MARS_014
RD0047,003aa800,0c,ATTACK_FROM_MARS_015
RD0048,003b0a00,0c,ATTACK_FROM_MARS_016
RD0049,003b6c00,0c,ATTACK_FROM_MARS_017
RD0050,003bce00,0c,ATTACK_FROM_MARS_018
RD0051,003c3000,0c,ATTACK_FROM_MARS_019
RD0052,003c9200,0f,ATTACK_FROM_MARS_020
RD0053,003d0c00,08,ATTACK_FROM_MARS_021
RD0054,003d4e00,14,ATTACK_FROM_MARS_022
RD0055,003df000,0d,ATTACK_FROM_MARS_023
RD0056,003e5a00,11,ATTACK_FROM_MARS_024
RD0057,003ee400,15,ATTACK_FROM_MARS_025
RD0058,003f8e00,07,ATTACK_FROM_MARS_026
RD0059,003fc800,0e,ATTACK_FROM_MARS_027
RD0060,00403a00,14,ATTACK_FROM_MARS_028
RD0061,0040dc00,0e,ATTACK_FROM_MARS_029
RD0062,00414e00,05,ATTACK_FROM_MARS_030
RD0063,00417800,07,ATTACK_FROM_MARS_031
RD0064,0041b200,07,ATTACK_FROM_MARS_032
RD0065,0041ec00,2c,ATTACK_FROM_MARS_033
RD0066,00434e00,27,ATTACK_FROM_MARS_034
RD0067,00448800,0f,ATTACK_FROM_MARS_035
RD0068,00450200,11,ATTACK_FROM_MARS_036
RD0069,00458c00,0b,ATTACK_FROM_MARS_037
RD0070,0045e600,08,ATTACK_FROM_MARS_038
RD0071,00462800,01,ATTACK_FROM_MARS_039
RD0072,00463200,1c,ATTACK_FROM_MARS_040
RD0073,00471400,08,ATTACK_FROM_MARS_041
RD0074,00475600,08,ATTACK_FROM_MARS_042
RD0075,00479800,0c,ATTACK_FROM_MARS_043
RD0076,0047fa00,02,AVATAR_001
RD0077,00480c00,18,AVATAR_002
RD0078,0048ce00,30,AVATAR_003
RD0079,004a5000,2f,AVATAR_004
RD0080,004bca00,16,AVATAR_005
RD0081,004c7c00,40,AVENGERS_001
RD0082,004e7e00,26,AVENGERS_002
RD0083,004fb000,26,AVENGERS_003
RD0084,0050e200,10,AVENGERS_004
RD0085,00516400,23,AVENGERS_005
RD0086,00527e00,29,AVENGERS_006
RD0087,0053c800,11,AVENGERS_007
RD0088,00545200,1b,AVENGERS_008
RD0089,00552c00,18,AVENGERS_009
RD0090,0055ee00,1f,AVENGERS_010
RD0091,0056e800,07,AVENGERS_011
RD0092,00572200,0c,AVENGERS_012
RD0093,00578400,20,AVENGERS_013
RD0094,00588600,34,AVENGERS_014
RD0095,005a2800,30,AVENGERS_015
RD0096,005baa00,3a,AVENGERS_016
RD0097,005d7c00,26,AVENGERS_017
RD0098,005eae00,26,AVENGERS_018
RD0099,005fe000,19,AVENGERS_019
RD0100,0060aa00,1b,AVENGERS_020
RD0101,00618400,1e,AVENGERS_021
RD0102,00627600,27,AVENGERS_022
RD0103,0063b000,26,AVENGERS_023
RD0104,0064e200,30,AVENGERS_024
RD0105,00666400,2d,AVENGERS_025
